"pastweek_1","pastweek_2","pastweek_3","circumstances","source","fw_g","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","comments","id","condition","used_tape","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"5","4","4","","2",17,85,6,6,6,6,80,6,5,5,5,77,5,5,5,6,NA,5,4,5,4,"",22,"intervention",1,3,2,6,5.25,5.25,4.5
"5","5","4","","2",729,73,6,6,6,6,77,6,6,6,6,70,5,6,6,6,76,6,6,6,6,"",33,"control",NA,3,2,6,6,5.75,6
"5","5","2","","2",17,56,6,4,6,5,72,4,4,5,5,91,6,6,6,6,64,6,6,6,6,"",45,"intervention",1,7,2,5.25,4.5,6,6
"5","4","4","","2",81,33,6,5,5,2,100,6,3,5,5,100,6,6,5,3,100,5,6,5,3,"",6,"control",NA,6,2,4.5,4.75,5,4.75
"7","3","7","","1",147,100,6,6,6,6,100,5,4,6,5,80,3,4,5,5,12,4,3,3,4,"",9,"intervention",1,9,2,6,5,4.25,3.5
"4","3","3","","2",18,65,6,6,5,6,85,7,7,6,7,92,6,6,6,6,95,6,6,5,6,"",2,"intervention",1,5,2,5.75,6.75,6,5.75
"7","6","6","","1",17,95,6,6,6,6,93,6,6,6,5,89,6,6,6,6,86,5,6,5,6,"",23,"intervention",0,5,2,6,5.75,6,5.5
"5","5","4","Veel samen gegeten ","1",0,51,6,6,6,6,NA,6,6,6,6,58,6,6,6,6,NA,4,4,4,4,"",8,"control",NA,6,2,6,6,6,4
"0","0","0","Ik was niet thuis","2",0,0,6,6,5,5,0,5,5,5,5,55,6,6,6,6,78,6,5,6,6,"",21,"control",NA,3,2,5.5,5,6,5.75
"4","0","0","Ik ben net verhuisd en heb nog niet ik mn nieuwe woning gekookt. Dit maakt dat de hoeveelheid dat ik heb weggegooid misschien relatief laag is","2",79,100,7,7,7,7,0,6,6,6,6,79,7,7,7,7,0,1,1,1,1,"Ik vind de vragen een beetje apart, aangezien je 4 keer hetzelfde vraagt, dat ik het doe 'zonder na te denken' of 'automatisch' doe betekent toch hetzelfde? Ben benieuwd wat de reden hierachter is",37,"intervention",0,6,2,7,6,7,1
