"pastweek_1","pastweek_2","pastweek_3","circumstances","source","fw_g","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","age","gender","comments","id","condition","used_tape","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"6","5","4","Ik had vaak tussen lectures en werk weinig tijd waardoor ik overhaast eette en meer weggooide omdat ik geen tijd had om het op te eten / in bakjes te doen","2",1590,NA,6,6,6,5,84,6,6,6,6,63,2,6,4,4,82,6,6,6,6,"24","1","",53,"control",NA,5,0,5.75,6,4,6
"6","4","7","Nee","2",116,59,6,5,6,5,90,6,6,6,6,59,6,5,6,3,0,5,5,4,3,"23","1","",54,"control",NA,5,0,5.5,6,5,4.25
"5","5","4","ik had veel restjes over die ik de afgelopen week gegeten heb","2",65,100,7,4,6,7,100,6,3,3,4,71,6,5,6,5,50,4,4,4,4,"20","1","",55,"control",NA,2,0,6,4,5.5,4
"5","4","1","Nee","2",466,65,6,6,6,6,90,6,6,6,6,0,6,6,6,6,100,6,6,6,6,"21","1","",56,"intervention",1,5,0,6,6,6,6
"7","5","3","Ik heb 2 keer een restje opgewarmd. Dat doe ik niet altijd.","2",155,81,6,6,5,6,0,7,6,5,3,80,5,3,3,5,100,5,6,3,5,"22","1","",57,"control",NA,7,0,5.75,5.25,4,4.75
"7","3","2","","2",197,80,5,5,3,2,100,5,5,6,5,78,5,5,5,5,27,2,2,2,2,"21","2","",58,"intervention",NA,4,0,3.75,5.25,5,2
"2","2","1","Nee","2",4,23,2,3,2,2,75,3,2,5,5,0,3,3,3,3,84,6,6,6,2,"20","1","",59,"intervention",0,4,0,2.25,3.75,3,5
"7","4","6","Ik had die week ervoor net een grote koelkast opruiming gedaan. Normaal gooi ik wellicht meer weggedurende de week maar nu had ik dat die week ervoor al gedaan. ","1",96,92,6,4,5,5,96,5,3,4,2,74,3,3,3,4,100,5,5,3,3,"23","1","-",60,"intervention",NA,3,0,5,3.5,3.25,4
"5","3","3","","2",375,0,1,1,1,1,100,6,6,4,1,49,6,5,5,4,0,1,5,3,1,"21","2","",61,"control",NA,6,0,1,4.25,5,2.5
"4","2","0","Veel niet thuis geweest en 2 keer uiteten, dat is niet standaard","2",1,24,5,4,3,5,59,3,3,4,3,57,3,3,3,3,74,6,6,6,6,"23","1","",62,"intervention",NA,4,0,4.25,3.25,3,6
"5","3","1","Nee","1",111,71,5,5,5,1,77,5,2,3,2,100,6,6,6,4,100,7,7,7,6,"26","1","Doordat je er bewust mee bezig bent voor het weggooien denk je nog iets sneller na over wat je nog hebt liggen en anders weg moet",63,"intervention",1,10,0,4,3,5.5,6.75
